T,E
1.5,-1.9511165730783768
1.5050125313283207,-1.9501203094975859
1.5100250626566416,-1.9491091091460035
1.5150375939849625,-1.9480828222661108
1.5200501253132832,-1.9470412978722023
1.525062656641604,-1.945984383722729
1.5300751879699248,-1.9449119262918257
1.5350877192982457,-1.9438237707399753
1.5401002506265664,-1.9427197608838078
1.545112781954887,-1.9415997391649877
1.550125313283208,-1.9404635466181737
1.555137844611529,-1.939311022838017
1.5601503759398496,-1.9381420059451648
1.5651629072681703,-1.936956332551242
1.5701754385964912,-1.935753837722772
1.5751879699248121,-1.934534354944008
1.5802005012531328,-1.933297716078631
1.5852130325814535,-1.932043751330283
1.5902255639097744,-1.9307722892018848
1.5952380952380953,-1.9294831564537116
1.600250626566416,-1.9281761780601716
1.6052631578947367,-1.926851177165238
1.6102756892230576,-1.925507975036501
1.6152882205513786,-1.9241463910177765
1.6203007518796992,-1.9227662424802223
1.62531328320802,-1.9213673447719113
1.6303258145363408,-1.9199495111657934
1.6353383458646618,-1.9185125528059992
1.6403508771929824,-1.917056278652407
1.6453634085213031,-1.9155804954234241
1.650375939849624,-1.9140850075368858
1.655388471177945,-1.9125696170490354
1.6604010025062657,-1.9110341235914676
1.6654135338345863,-1.9094783243059905
1.6704260651629073,-1.9079020137772948
1.6754385964912282,-1.9063049839633546
1.6804511278195489,-1.9046870241234628
1.6854636591478696,-1.903047920743799
1.6904761904761905,-1.9013874574604315
1.6954887218045114,-1.8997054149796382
1.700501253132832,-1.8980015709954379
1.7055137844611528,-1.8962757001041965
1.7105263157894737,-1.8945275737162077
1.7155388471177946,-1.8927569599640786
1.7205513784461153,-1.8909636236078027
1.725563909774436,-1.8891473259363658
1.7305764411027569,-1.8873078246657162
1.7355889724310778,-1.8854448738329432
1.7406015037593985,-1.8835582236864876
1.7456140350877192,-1.8816476205721755
1.75062656641604,-1.8797128068149174
1.755639097744361,-1.8777535205958233
1.7606516290726817,-1.8757694958245374
1.7656641604010024,-1.8737604620065496
1.7706766917293233,-1.8717261441052295
1.7756892230576442,-1.8696662623983342
1.780701754385965,-1.867580532328692
1.7857142857142856,-1.865468664348777
1.7907268170426065,-1.8633303637588612
1.7957393483709274,-1.8611653305383877
1.800751879699248,-1.8589732591702384
1.8057644110275688,-1.8567538384574924
1.8107769423558897,-1.8545067513322762
1.8157894736842106,-1.8522316746562875
1.8208020050125313,-1.8499282790125091
1.825814536340852,-1.847596228487644
1.830827067669173,-1.8452351804447318
1.8358395989974938,-1.8428447852854
1.8408521303258145,-1.8404246862011355
1.8458646616541352,-1.8379745189129515
1.8508771929824561,-1.8354939113987419
1.855889724310777,-1.832982483607619
1.8609022556390977,-1.8304398471604038
1.8659147869674184,-1.8278656050354574
1.8709273182957393,-1.8252593512389192
1.8759398496240602,-1.8226206704583798
1.880952380952381,-1.8199491376989319
1.8859649122807016,-1.817244317900462
1.8909774436090225,-1.8145057655349588
1.8959899749373434,-1.8117330241825027
1.9010025062656641,-1.8089256260845243
1.9060150375939848,-1.8060830916727668
1.9110275689223057,-1.803204929072284
1.9160401002506267,-1.8002906335766524
1.9210526315789473,-1.7973396870934324
1.926065162907268,-1.794351557557733
1.931077694235589,-1.79132569831153
1.9360902255639099,-1.7882615474462467
1.9411027568922306,-1.7851585271057748
1.9461152882205512,-1.782016042746952
1.9511278195488722,-1.778833482354182
1.956140350877193,-1.7756102156045739
1.9611528822055138,-1.7723455929796523
1.9661654135338344,-1.7690389448192816
1.9711779448621554,-1.7656895803130181
1.9761904761904763,-1.7622967864236374
1.981203007518797,-1.7588598267370157
1.9862155388471177,-1.7553779402319658
1.9912280701754386,-1.7518503399629344
1.9962406015037595,-1.7482762116476767
2.00125313283208,-1.7446547121512235
2.006265664160401,-1.7409849678563667
2.011278195488722,-1.737266072909919
2.0162907268170427,-1.7334970873325861
2.0213032581453634,-1.7296770349789976
2.026315789473684,-1.7258049013326842
2.0313283208020048,-1.7218796311189768
2.036340852130326,-1.717900125716639
2.0413533834586466,-1.7138652403465355
2.0463659147869673,-1.7097737810127747
2.0513784461152884,-1.705624501168516
2.056390977443609,-1.7014160980746833
2.06140350877193,-1.6971472088153938
2.0664160401002505,-1.69281640592867
2.071428571428571,-1.6884221926048446
2.0764411027568923,-1.683962997397805
2.081453634085213,-1.679437168385679
2.0864661654135337,-1.6748429667073708
2.091478696741855,-1.6701785593892866
2.0964912280701755,-1.6654420113620028
2.101503759398496,-1.660631276549198
2.106516290726817,-1.6557441878899959
2.1115288220551376,-1.6507784461302752
2.1165413533834587,-1.6457316071868933
2.1215538847117794,-1.6406010678503011
2.1265664160401,-1.6353840495430088
2.1315789473684212,-1.6300775797918217
2.136591478696742,-1.6246784709967756
2.1416040100250626,-1.6191832959850079
2.1466165413533833,-1.6135883597168728
2.151629072681704,-1.6078896663561915
2.156641604010025,-1.60208288071424
2.161654135338346,-1.5961632828120744
2.1666666666666665,-1.5901257139536658
2.1716791979949877,-1.5839645122294612
2.1766917293233083,-1.5776734347265915
2.181704260651629,-1.5712455628332482
2.1867167919799497,-1.5646731857788339
2.1917293233082704,-1.5579476557723304
2.1967418546365916,-1.5510592055134482
2.2017543859649122,-1.543996715002103
2.206766917293233,-1.5367474087080424
2.211779448621554,-1.5292964549798693
2.2167919799498748,-1.5216264247304654
2.2218045112781954,-1.5137165415598595
2.226817042606516,-1.5055416119660945
2.231829573934837,-1.4970704442461056
2.236842105263158,-1.4882634081347657
2.2418546365914787,-1.4790684570026504
2.2468671679197993,-1.4694141673818966
2.2518796992481205,-1.4591963253819389
2.256892230576441,-1.448248179943405
2.261904761904762,-1.4362574836231121
2.2669172932330826,-1.4223889643457241
2.2719298245614032,-1.4045794836179646
2.2769423558897244,-1.3909689292087357
2.281954887218045,-1.3790942884184039
2.2869674185463658,-1.3682172202470728
2.291979949874687,-1.3580460249373552
2.2969924812030076,-1.3484217308734523
2.3020050125313283,-1.3392438563643456
2.307017543859649,-1.3304430242577496
2.3120300751879697,-1.3219684100445912
2.317042606516291,-1.3137811573485376
2.3220551378446115,-1.3058505853024913
2.327067669172932,-1.2981518478152076
2.3320802005012533,-1.2906644098079645
2.337092731829574,-1.2833710122228392
2.3421052631578947,-1.2762569441915352
2.3471177944862154,-1.2693095161913286
2.352130325814536,-1.2625176692376072
2.357142857142857,-1.2558716788363413
2.362155388471178,-1.2493629265975847
2.3671679197994986,-1.2429837212125505
2.3721804511278197,-1.2367271561327164
2.3771929824561404,-1.2305869949982726
2.382205513784461,-1.224557578363015
